,symbol,priceChangePercent,openPrice,highPrice,lowPrice,count
393,PAXETH,0.000,0.00000000,0.00000000,0.00000000,0
394,RVNBTC,-3.774,0.00000053,0.00000054,0.00000051,2012
395,DCRBTC,5.656,0.00044200,0.00050300,0.00042900,6828
396,DCRBNB,0.000,0.00000000,0.00000000,0.00000000,0
397,USDCBNB,0.000,0.00000000,0.00000000,0.00000000,0
398,MITHBTC,0.000,0.00000000,0.00000000,0.00000000,0
399,MITHBNB,0.000,0.00000000,0.00000000,0.00000000,0
400,BCHABCBTC,0.000,0.00000000,0.00000000,0.00000000,0
401,BCHSVBTC,0.000,0.00000000,0.00000000,0.00000000,0
402,BCHABCUSDT,0.000,0.00000000,0.00000000,0.00000000,0
403,BCHSVUSDT,0.000,0.00000000,0.00000000,0.00000000,0
404,BNBPAX,0.000,0.00000000,0.00000000,0.00000000,0
405,BTCPAX,0.000,0.00000000,0.00000000,0.00000000,0
406,ETHPAX,0.000,0.00000000,0.00000000,0.00000000,0
407,XRPPAX,0.000,0.00000000,0.00000000,0.00000000,0
408,EOSPAX,0.000,0.00000000,0.00000000,0.00000000,0
409,XLMPAX,0.000,0.00000000,0.00000000,0.00000000,0
410,RENBTC,-2.312,0.00000173,0.00000176,0.00000167,3196
411,RENBNB,0.000,0.00000000,0.00000000,0.00000000,0
412,BNBTUSD,0.316,316.50000000,319.50000000,307.50000000,17485
413,XRPTUSD,-1.496,0.63510000,0.63590000,0.61270000,3555
414,EOSTUSD,0.000,0.00000000,0.00000000,0.00000000,0
415,XLMTUSD,0.000,0.00000000,0.00000000,0.00000000,0
416,BNBUSDC,0.158,316.70000000,319.70000000,307.50000000,1181
417,BTCUSDC,-1.927,43027.69000000,43069.88000000,41284.28000000,29316
418,ETHUSDC,-3.269,2376.40000000,2384.39000000,2256.00000000,22537
419,XRPUSDC,0.176,0.62350000,0.62830000,0.60020000,266
420,EOSUSDC,0.000,0.00000000,0.00000000,0.00000000,0
421,XLMUSDC,0.000,0.00000000,0.00000000,0.00000000,0
422,USDCUSDT,0.060,0.99950000,1.00020000,0.99930000,157709
423,ADATUSD,-2.397,0.62160000,0.62160000,0.59150000,1381
424,TRXTUSD,0.000,0.00000000,0.00000000,0.00000000,0
425,NEOTUSD,0.000,0.00000000,0.00000000,0.00000000,0
426,TRXXRP,0.912,0.16784000,0.17258000,0.16773000,3294
427,XZCXRP,0.000,0.00000000,0.00000000,0.00000000,0
428,PAXTUSD,0.000,0.00000000,0.00000000,0.00000000,0
429,USDCTUSD,0.000,0.00000000,0.00000000,0.00000000,0
430,USDCPAX,0.000,0.00000000,0.00000000,0.00000000,0
431,LINKUSDT,-4.275,15.97800000,16.19800000,15.01700000,172263
432,LINKTUSD,-4.659,16.03400000,16.18100000,15.02700000,1167
433,LINKPAX,0.000,0.00000000,0.00000000,0.00000000,0
434,LINKUSDC,0.000,0.00000000,0.00000000,0.00000000,0
435,WAVESUSDT,-4.676,2.86600000,2.88000000,2.67900000,33803
436,WAVESTUSD,0.000,0.00000000,0.00000000,0.00000000,0
437,WAVESPAX,0.000,0.00000000,0.00000000,0.00000000,0
438,WAVESUSDC,0.000,0.00000000,0.00000000,0.00000000,0
439,BCHABCTUSD,0.000,0.00000000,0.00000000,0.00000000,0
440,BCHABCPAX,0.000,0.00000000,0.00000000,0.00000000,0
441,BCHABCUSDC,0.000,0.00000000,0.00000000,0.00000000,0
442,BCHSVTUSD,0.000,0.00000000,0.00000000,0.00000000,0
443,BCHSVPAX,0.000,0.00000000,0.00000000,0.00000000,0
444,BCHSVUSDC,0.000,0.00000000,0.00000000,0.00000000,0
445,LTCTUSD,-4.498,76.70000000,76.97000000,72.41000000,956
446,LTCPAX,0.000,0.00000000,0.00000000,0.00000000,0
447,LTCUSDC,0.000,0.00000000,0.00000000,0.00000000,0
448,TRXPAX,0.000,0.00000000,0.00000000,0.00000000,0
449,TRXUSDC,0.000,0.00000000,0.00000000,0.00000000,0
450,BTTBTC,0.000,0.00000000,0.00000000,0.00000000,0
451,BTTBNB,0.000,0.00000000,0.00000000,0.00000000,0
452,BTTUSDT,0.000,0.00000000,0.00000000,0.00000000,0
453,BNBUSDS,0.000,0.00000000,0.00000000,0.00000000,0
454,BTCUSDS,0.000,0.00000000,0.00000000,0.00000000,0
455,USDSUSDT,0.000,0.00000000,0.00000000,0.00000000,0
456,USDSPAX,0.000,0.00000000,0.00000000,0.00000000,0
457,USDSTUSD,0.000,0.00000000,0.00000000,0.00000000,0
458,USDSUSDC,0.000,0.00000000,0.00000000,0.00000000,0
459,BTTPAX,0.000,0.00000000,0.00000000,0.00000000,0
460,BTTTUSD,0.000,0.00000000,0.00000000,0.00000000,0
461,BTTUSDC,0.000,0.00000000,0.00000000,0.00000000,0
462,ONGBNB,0.000,0.00000000,0.00000000,0.00000000,0
463,ONGBTC,-1.596,0.00000877,0.00000893,0.00000851,978
464,ONGUSDT,-3.603,0.37750000,0.37830000,0.35870000,11260
465,HOTBNB,0.000,0.00000000,0.00000000,0.00000000,0
466,HOTUSDT,-2.356,0.00254700,0.00276400,0.00246300,164715
467,ZILUSDT,-3.516,0.02588000,0.02601000,0.02452000,45225
468,ZRXBNB,0.000,0.00000000,0.00000000,0.00000000,0
469,ZRXUSDT,-4.359,0.37850000,0.38100000,0.35240000,14679
470,FETBNB,-5.143,0.00227500,0.00228300,0.00212200,3688
471,FETBTC,-3.047,0.00001674,0.00001679,0.00001595,4470
472,FETUSDT,-4.727,0.71930000,0.72330000,0.66680000,124786
473,BATUSDT,-3.851,0.25450000,0.25480000,0.24030000,15422
474,XMRBNB,-3.713,0.53600000,0.53810000,0.50970000,589
475,XMRUSDT,-3.477,169.70000000,169.80000000,162.00000000,52985
476,ZECBNB,0.000,0.00000000,0.00000000,0.00000000,0
477,ZECUSDT,-2.606,29.16000000,29.31000000,28.00000000,58280
478,ZECPAX,0.000,0.00000000,0.00000000,0.00000000,0
479,ZECTUSD,0.000,0.00000000,0.00000000,0.00000000,0
480,ZECUSDC,0.000,0.00000000,0.00000000,0.00000000,0
481,IOSTUSDT,-3.382,0.01035000,0.01042000,0.00984000,14405
482,CELRBNB,0.000,0.00000000,0.00000000,0.00000000,0
483,CELRBTC,-5.455,0.00000055,0.00000057,0.00000052,1724
484,CELRUSDT,-5.070,0.02347000,0.02356000,0.02175000,26321
485,ADAPAX,0.000,0.00000000,0.00000000,0.00000000,0
486,ADAUSDC,-3.227,0.61660000,0.64350000,0.58980000,169
487,NEOPAX,0.000,0.00000000,0.00000000,0.00000000,0
488,NEOUSDC,0.000,0.00000000,0.00000000,0.00000000,0
489,DASHBNB,0.000,0.00000000,0.00000000,0.00000000,0
490,DASHUSDT,-4.314,34.31000000,34.45000000,32.04000000,58813
491,NANOUSDT,0.000,0.00000000,0.00000000,0.00000000,0
492,OMGBNB,0.000,0.00000000,0.00000000,0.00000000,0
493,OMGUSDT,-3.886,0.87500000,0.88500000,0.82200000,15353
494,THETAUSDT,-1.308,1.30000000,1.36800000,1.24700000,47358
495,ENJUSDT,-5.908,0.39100000,0.39250000,0.35910000,29962
